0,50.0598,476.705
0,0.00576021,-467.255
0,0.0033662,-0.02203
0,0.00429838,0.00929288
0,0.00453349,0.00232722
0,0.00300986,-0.0142414
0,0.00359525,0.0053951
0,0.00527414,0.0154898
0,0.00331073,-0.018149
0,0.00458805,0.0127687
0,0.0013988,-0.0318405
0,0.00516236,0.0348266
0,0.00356849,-0.0146929
0,0.00381941,0.00250488
0,0.00231115,-0.0140159
0,0.00268372,0.00371528
0,0.00441627,0.0172374
0,0.00465297,0.00219713
0,0.00352798,-0.0112167
0,0.00412417,0.00595237
0,0.00440834,0.00283482
0,0.00293968,-0.0135975
0,0.00294654,6.67468e-05
0,0.00254294,-0.00381851
0.01,0.00505208,0.0231959
0.01,0.00765368,0.0240341
0.01,0.00887943,0.0113598
0.01,0.0106099,0.0172282
0.01,0.010009,-0.00596644
0.01,0.0119666,0.0182367
0.01,0.0127426,0.00717027
0.02,0.0104457,-0.0229642
0.02,0.028123,0.163929
0.02,0.0528759,0.247125
0.02,0.0436232,-0.0924561
0.02,0.052204,0.0794005
0.02,0.0444242,-0.0716434
0.02,0.0204579,-0.217383
0.02,0.0246847,0.0395572
0.02,0.0351981,0.0976154
0.03,0.0276592,-0.0689818
0.03,0.0664688,0.36103
0.03,0.0506705,-0.157377
0.03,0.0396901,-0.109606
0.03,0.0468372,0.066269
0.03,0.0549304,0.080544
0.03,0.0481772,-0.0622446
0.03,0.0473927,-0.00726973
0.03,0.0507889,0.0339147
0.03,0.0470562,-0.0373006
0.03,0.048154,0.0109687
0.03,0.0489719,0.00756921
0.03,0.0493971,0.00424586
0.03,0.0429866,-0.0591666
0.03,0.0454121,0.0242202
0.03,0.0438109,-0.01481
0.03,0.0444381,0.00624851
0.03,0.0399632,-0.0414686
0.04,0.0474098,0.0677726
0.04,0.0886873,0.386641
0.04,0.194374,0.976377
0.04,0.338028,1.43136
0.04,0.496649,1.47216
0.04,0.619863,1.22598
0.04,0.699454,0.736124
0.04,0.740387,0.407377
0.04,0.611008,-1.03661
0.04,0.988875,3.76822
0.04,0.815555,-1.60982
0.04,0.818348,0.0278635
0.04,0.829914,0.106796
0.04,0.854389,0.226254
0.04,0.746591,-0.977034
0.04,1.30299,5.23843
0.04,0.463588,-8.37834
0.04,0,-4.6052
0.04,0,0
0.04,0,0
0.04,3.6376,33.5244
0.04,0,-33.7662
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,15.5557,143.564
0.04,0,-141.047
0.04,0,0
0.04,0,0
0.04,0,0
0.04,0,0
0.04,6.31619,58.3977
0.04,10.1856,35.8643
0.04,1.42948,-87.5211
0.04,0.724987,-6.49149
0.04,1.29577,5.28512
0.04,0.826352,-4.32187
0.04,0.95846,1.31455
0.04,0.943032,-0.154121
0.04,0.981293,0.37928
0.04,0.932064,-0.460549
0.04,1.00928,0.770958
0.04,0.752896,-2.13661
0.04,1.09648,3.28968
0.04,0.854171,-2.41898
0.04,0.743198,-1.07893
0.04,1.15721,3.91955
0.04,0.894596,-2.61736
0.04,0.871809,-0.222479
0.04,0.942786,0.672131
0.04,0.839694,-0.952791
0.04,0.842024,0.0232309
0.04,0.850012,0.0798547
0.04,0.974385,1.14778
0.04,0.975098,0.00658094
0.04,0.930491,-0.411273
0.04,0.953778,0.215152
0.04,0.963339,0.0887349
0.04,1.04052,0.767991
0.04,0.998383,-0.388143
0.04,0.958469,-0.369671
0.04,1.03767,0.73483
0.04,0.990597,-0.466796
0.04,0.994687,0.0379869
0.04,0.97029,-0.243855
0.04,0.972059,0.0176485
0.04,0.956575,-0.15333
0.04,0.963361,0.063418
0.04,0.932403,-0.308212
0.04,0.943201,0.0997375
0.04,0.931339,-0.118503
0.04,0.91211,-0.19188
0.04,0.920137,0.0743677
0.04,0.988912,0.636324
0.04,0.977726,-0.111695
0.04,0.955079,-0.225936
0.04,0.994786,0.396869
0.04,0.929486,-0.652743
0.04,0.89072,-0.38748
0.04,0.925688,0.323752
0.04,0.900827,-0.239271
0.04,0.964151,0.606161
0.04,0.921861,-0.38968
0.04,0.912839,-0.0900826
0.04,0.934304,0.198809
0.04,0.893437,-0.408106
0.04,0.888197,-0.0481159
0.04,0.930536,0.393396
0.04,0.920329,-0.102027
0.04,0.76007,-1.24295
0.04,1.0578,2.85441
0.04,0.955337,-1.02316
0.04,0.733966,-2.14484
0.04,1.07882,3.25214
0.04,0.92576,-1.4191
0.04,0.914081,-0.108193
0.04,0.869799,-0.410407
0.04,0.921049,0.508164
0.04,0.943679,0.210397
0.04,0.776245,-1.67326
0.05,0.830131,0.538547
0.05,0.909922,0.735431
0.05,0.986292,0.707643
0.05,1.01247,0.261187
0.05,1.05498,0.3902
0.05,1.20071,1.34655
0.05,1.13022,-0.652573
0.05,1.18238,0.482014
0.05,1.1554,-0.26969
0.05,1.20617,0.468827
0.05,1.20682,0.00605378
0.05,1.19305,-0.137309
0.05,1.23668,0.403637
0.05,1.18433,-0.483069
