2626.03,2537.78
2631.1,2589.11
2634.9,2649.4
2632.9,2712
2631.4,2755.9
2629.3,2840.9
2616.7,2909.7
2587.9,2971.4
2530.5,3019.7
2462.8,3030.4
2408.7,2994.6
2394.6,2924.1
2384.8,2834.7
2372.7,2716.6
2361.6,2609.3
2346.4,2461.3
2335.6,2356.3
2319.3,2201.2
2299.5,2033.8
2286.3,1985.1
2263.8,1966.2
2242.8,1945.6
2227.1,1912.3
2224.2,1876.3
2226,1854.5
2228.1,1830.4
2218.2,1813.2
2195,1793.1
2151.9,1755.8
2053.9,1669.8
1931.2,1561.6
1813.6,1459.8
1748.5,1403.2
1689.8,1361.9
1595.7,1309.2
1495.1,1252.4
1407.8,1202.9
1374.3,1179.3
1370.3,1145.6
1377.5,1060.3
1385.9,973
1393.2,908.3
1407.7,877.3
1438.1,855.8
1481.6,851.4
1536.8,869.6
1594.5,890.3
1663,914.7
1746.3,938.5
1777.9,945.3
1787.7,967.5
1793.2,981.9
1802.5,986.7
1832.8,988.8
1863.9,990.2
1916.3,993.2
1959.1,995.6
2019.6,999.6
2071.6,1004
2137.9,1009.4
2214.1,1017.4
2290.5,1036
2360.8,1067.9
2430.7,1120.8
2484,1195.1
2510.6,1281.5
2523.2,1414.9
2520.6,1489.3
2500.7,1570.6
2495.6,1606.4
2508.1,1612.7
2532.1,1615
2539.1,1632
2544.7,1701.6
2557,1835.9
2571.6,2004.9
2588.1,2175
2607.5,2375.8
